weight_year,coicop,product_label,category,weight_eurostat_hbs,weight_insee_bdf,diff_insee_minus_eurostat,abs_diff
2022,082,"Software, excluding games",Third quintile,7.55247875789468e-08,9.60731510854005e-08,2.05483635064538e-08,2.05483635064538e-08
2022,01,Food and non-alcoholic beverages,Third quintile,20.197361558276,,,
2022,011,Food,Third quintile,,16.6617431864322,,
2022,012,Non-alcoholic beverages,Third quintile,,1.43752168428699,,
2022,013,Services for processing primary goods for food and non-alcoholic beverages,Third quintile,,1.03510440112497e-07,,
2022,02,"Alcoholic beverages, tobacco and narcotics",Third quintile,,5.50819158518575,,
2022,021,Alcoholic beverages,Third quintile,2.52328315301261,,,
2022,022,Alcohol production services,Third quintile,1.22001579935222e-07,,,
2022,023,Tobacco,Third quintile,2.76194148176208e-06,,,
2022,06,Health,Third quintile,5.83074961605587,,,
2022,061,Medicines and health products,Third quintile,,1.99748680436435,,
2022,062,Outpatient care services,Third quintile,,2.59468497943699,,
2022,063,Inpatient care services,Third quintile,,0.18803834674508,,
2022,064,Other health services,Third quintile,,0.0873713530330677,,
2022,07,Transport,Third quintile,16.7192998502893,,,
2022,071,Purchase of vehicles,Third quintile,,3.74846111053075,,
2022,072,Operation of personal transport equipment,Third quintile,,12.3795584191177,,
2022,073,Passenger transport services,Third quintile,,1.59641330238467,,
2022,074,Transport services for goods,Third quintile,,0.186659867208543,,
2022,10,Education services,Third quintile,,0.265309273147548,,
2022,101,Early childhood and primary education,Third quintile,0.0566435906842101,,,
2022,102,Secondary education,Third quintile,0.175595131121051,,,
2022,103,Post-secondary non-tertiary education,Third quintile,1.1328718136842e-13,,,
2022,104,Tertiary education,Third quintile,0.0838325142126309,,,
2022,105,Education not defined by level,Third quintile,2.60560517147366e-08,,,
2022,12,Insurance and financial services,Third quintile,,4.5644462322872,,
2022,121,Insurance,Third quintile,4.20295442876839,,,
2022,122,Financial services,Third quintile,5.81163240419995e-07,,,
2023,041,Actual rental payments made for housing,Fifth quintile,2.943183883083,4.6085595364541,1.6653756533711,1.6653756533711
2023,043,"Maintenance, repair and security of the dwelling",Fifth quintile,2.64824921337531,2.27203660871873,-0.37621260465658,0.37621260465658
2023,081,Information and communication equipment,Fifth quintile,1.30158631550999,0.987360987607041,-0.314225327902952,0.314225327902952
2023,054,"Glassware, tableware and household utensils",Fifth quintile,0.534908777283183,0.757216626361068,0.222307849077885,0.222307849077885
2023,09,"Recreation, sport and culture",Fifth quintile,8.69313598925641,8.88625072316536,0.193114733908951,0.193114733908951
2023,044,Water supply and miscellaneous services relating to the dwelling,Fifth quintile,1.34974024146842,1.52147285048134,0.171732609012917,0.171732609012917
2023,056,Goods and services for routine household maintenance,Fifth quintile,1.76643857104928,1.91698937670846,0.150550805659181,0.150550805659181
2023,051,"Furniture, furnishings, and loose carpets",Fifth quintile,2.4418504776291,2.31855439306667,-0.123296084562431,0.123296084562431
2023,031,Clothing,Fifth quintile,3.59707370813626,3.48238437439507,-0.114689333741192,0.114689333741192
2023,052,Household textiles,Fifth quintile,0.389912437373556,0.493076815140154,0.103164377766598,0.103164377766598
2023,111,Food and beverage serving services,Fifth quintile,10.8194554564477,10.9144384749093,0.0949830184615497,0.0949830184615497
2023,053,Household appliances,Fifth quintile,1.1742449703562,1.08287474989592,-0.091370220460284,0.091370220460284
2023,055,Tools and equipment for house and garden,Fifth quintile,0.580360997824802,0.666780096474835,0.0864190986500331,0.0864190986500331
2023,032,Footwear,Fifth quintile,1.09811563126721,1.01442795478524,-0.0836876764819665,0.0836876764819665
2023,083,Information and communication services,Fifth quintile,2.45864583884323,2.39637919285594,-0.0622666459872834,0.0622666459872834
2023,112,Accommodation services,Fifth quintile,3.64864200132927,3.61722720501093,-0.0314147963183427,0.0314147963183427
2023,045,"Electricity, gas and other fuels",Fifth quintile,5.69851864380334,5.69584220068097,-0.00267644312237447,0.00267644312237447
2023,082,"Software, excluding games",Fifth quintile,1.12691455888311e-07,9.43196539148912e-08,-1.83718019734198e-08,1.83718019734198e-08
2023,01,Food and non-alcoholic beverages,Fifth quintile,16.330962088564,,,
2023,011,Food,Fifth quintile,,14.4734590541852,,
2023,012,Non-alcoholic beverages,Fifth quintile,,1.25537794160426,,
2023,013,Services for processing primary goods for food and non-alcoholic beverages,Fifth quintile,,1.20525758940817e-07,,
2023,02,"Alcoholic beverages, tobacco and narcotics",Fifth quintile,,3.58394049459918,,
2023,021,Alcoholic beverages,Fifth quintile,2.27862123806165,,,
2023,022,Alcohol production services,Fifth quintile,6.93485882389607e-08,,,
2023,023,Tobacco,Fifth quintile,2.33722079512357e-06,,,
2023,06,Health,Fifth quintile,4.49321964274675,,,
2023,061,Medicines and health products,Fifth quintile,,2.09123160101888,,
2023,062,Outpatient care services,Fifth quintile,,1.98710827121575,,
2023,063,Inpatient care services,Fifth quintile,,0.146626902625011,,
2023,064,Other health services,Fifth quintile,,0.348253314161489,,
2023,07,Transport,Fifth quintile,21.2088478757459,,,
2023,071,Purchase of vehicles,Fifth quintile,,4.01952780573983,,
2023,072,Operation of personal transport equipment,Fifth quintile,,9.89736045705287,,
2023,073,Passenger transport services,Fifth quintile,,4.26106655225285,,
2023,074,Transport services for goods,Fifth quintile,,0.342238218205156,,
2023,10,Education services,Fifth quintile,,0.58301651944142,,
2023,101,Early childhood and primary education,Fifth quintile,0.0788840191218178,,,
2023,102,Secondary education,Fifth quintile,0.228763655453272,,,
2023,103,Post-secondary non-tertiary education,Fifth quintile,1.12691455888311e-13,,,
2023,104,Tertiary education,Fifth quintile,0.267642207734739,,,
2023,105,Education not defined by level,Fifth quintile,0.0191575475010129,,,
2023,12,Insurance and financial services,Fifth quintile,,4.37892048634157,,
2023,121,Insurance,Fifth quintile,3.9498355288853,,,
2023,122,Financial services,Fifth quintile,5.22888355321764e-07,,,
2023,041,Actual rental payments made for housing,First quintile,19.1079013142469,10.564150703173,-8.54375061107382,8.54375061107382
2023,09,"Recreation, sport and culture",First quintile,5.97899176647797,5.43272306195672,-0.546268704521254,0.546268704521254
2023,081,Information and communication equipment,First quintile,1.20717581740022,1.68708220768561,0.479906390285386,0.479906390285386
2023,111,Food and beverage serving services,First quintile,6.68977786506866,6.24822182388845,-0.441556041180211,0.441556041180211
2023,112,Accommodation services,First quintile,0.79623245571144,1.22647762441376,0.430245168702316,0.430245168702316
2023,044,Water supply and miscellaneous services relating to the dwelling,First quintile,2.96487687020823,2.57710179369253,-0.387775076515705,0.387775076515705
2023,083,Information and communication services,First quintile,4.71263671157292,4.38442341095126,-0.328213300621658,0.328213300621658
2023,045,"Electricity, gas and other fuels",First quintile,8.07457578859062,7.76800749873829,-0.306568289852328,0.306568289852328
2023,031,Clothing,First quintile,3.55139628566598,3.65939766341087,0.108001377744887,0.108001377744887
2023,043,"Maintenance, repair and security of the dwelling",First quintile,1.2280792947578,1.32274108300167,0.0946617882438663,0.0946617882438663
2023,054,"Glassware, tableware and household utensils",First quintile,0.496109195953222,0.545444425410055,0.0493352294568328,0.0493352294568328
2023,056,Goods and services for routine household maintenance,First quintile,0.893623657036527,0.855251657512417,-0.03837199952411,0.03837199952411
2023,051,"Furniture, furnishings, and loose carpets",First quintile,1.19897522243686,1.2343144641731,0.0353392417362366,0.0353392417362366
2023,032,Footwear,First quintile,1.01846386903318,1.0036250782463,-0.0148387907868828,0.0148387907868828
2023,053,Household appliances,First quintile,0.907559308608247,0.92165703911034,0.0140977305020937,0.0140977305020937
2023,052,Household textiles,First quintile,0.241086772190751,0.228965272113933,-0.0121215000768182,0.0121215000768182
2023,055,Tools and equipment for house and garden,First quintile,0.307579738261528,0.318033570969037,0.0104538327075084,0.0104538327075084
2023,082,"Software, excluding games",First quintile,1.04517386787898e-07,1.34715719789433e-07,3.01983330015354e-08,3.01983330015354e-08
2023,01,Food and non-alcoholic beverages,First quintile,17.3946898138547,,,
2023,011,Food,First quintile,,17.9184436195142,,
2023,012,Non-alcoholic beverages,First quintile,,1.6526574833448,,
2023,013,Services for processing primary goods for food and non-alcoholic beverages,First quintile,,9.53788682429947e-08,,
2023,02,"Alcoholic beverages, tobacco and narcotics",First quintile,,5.11320189296171,,
2023,021,Alcoholic beverages,First quintile,2.1133415608513,,,
2023,022,Alcohol production services,First quintile,1.84915376624742e-07,,,
2023,023,Tobacco,First quintile,2.167690601981e-06,,,
2023,06,Health,First quintile,4.16730418133372,,,
2023,061,Medicines and health products,First quintile,,1.91790594891685,,
2023,062,Outpatient care services,First quintile,,1.77272175444527,,
2023,063,Inpatient care services,First quintile,,0.143190705245404,,
2023,064,Other health services,First quintile,,0.193092531698188,,
2023,07,Transport,First quintile,13.4656875584312,,,
2023,071,Purchase of vehicles,First quintile,,2.04095884939038,,
2023,072,Operation of personal transport equipment,First quintile,,10.5589847241325,,
2023,073,Passenger transport services,First quintile,,3.92387728864737,,
2023,074,Transport services for goods,First quintile,,0.175082829218178,,
2023,10,Education services,First quintile,,0.98860865477333,,
2023,101,Early childhood and primary education,First quintile,7.31621707515285e-08,,,
2023,102,Secondary education,First quintile,2.12170295179433e-07,,,
2023,103,Post-secondary non-tertiary education,First quintile,1.04517386787898e-13,,,
2023,104,Tertiary education,First quintile,0.297874552345509,,,
2023,105,Education not defined by level,First quintile,0.0177679557539426,,,
2023,12,Insurance and financial services,First quintile,,3.62365510916982,,
2023,121,Insurance,First quintile,3.16828921679206,,,
2023,122,Financial services,First quintile,4.84960674695846e-07,,,
2023,041,Actual rental payments made for housing,Fourth quintile,4.81920665913429,6.1165581099213,1.29735145078701,1.29735145078701
2023,111,Food and beverage serving services,Fourth quintile,8.60190030123917,8.28834253065657,-0.313557770582602,0.313557770582602
2023,045,"Electricity, gas and other fuels",Fourth quintile,6.47974081960553,6.17230062736237,-0.30744019224316,0.30744019224316
2023,083,Information and communication services,Fourth quintile,3.10937155914592,2.90153109770676,-0.207840461439166,0.207840461439166
2023,054,"Glassware, tableware and household utensils",Fourth quintile,0.801097338608637,0.990456553053691,0.189359214445054,0.189359214445054
2023,031,Clothing,Fourth quintile,3.47554730191303,3.30508464172355,-0.170462660189485,0.170462660189485
2023,09,"Recreation, sport and culture",Fourth quintile,7.41164082296854,7.57732237436202,0.165681551393479,0.165681551393479
2023,081,Information and communication equipment,Fourth quintile,1.29953290181598,1.18930306105155,-0.110229840764429,0.110229840764429
