country,year,category,mean_expenditure_pps_hh,group_consumption_share,group_consumption_share_pm,source
EE,2020,Fifth quintile,32658,0.369204680345939,369.204680345939,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1988,First quintile,7891,0.102059028945394,102.059028945394,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1988,Second quintile,12075,0.156173206756512,156.173206756512,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1988,Third quintile,15145,0.195879355389431,195.879355389431,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1988,Fourth quintile,18091,0.233981737758349,233.981737758349,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1988,Fifth quintile,24116,0.311906671150314,311.906671150314,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1994,First quintile,10285,0.11622125543816,116.22125543816,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1994,Second quintile,13593,0.15360189841234,153.60189841234,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1994,Third quintile,16389,0.185196903779875,185.196903779875,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1994,Fourth quintile,20314,0.229549692072998,229.549692072998,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1994,Fifth quintile,27914,0.315430250296627,315.430250296627,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1999,First quintile,12570,0.107440488909782,107.440488909782,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1999,Second quintile,17056,0.145784007863584,145.784007863584,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1999,Third quintile,21655,0.185093380058977,185.093380058977,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1999,Fourth quintile,27117,0.231779135860507,231.779135860507,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,1999,Fifth quintile,38597,0.32990298730715,329.90298730715,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,2005,First quintile,18617,0.120214380266684,120.214380266684,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,2005,Second quintile,22926,0.148038614276951,148.038614276951,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EL,2005,Third quintile,27629,0.178406999644852,178.406999644852,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
