hbs_category,category,country,year,mean_expenditure_pps_hh,household_count,household_share,group_consumption_share,group_consumption_share_pm,source
age,Less than 30 years,CY,2020,26218,141,0.0490264255910987,0.038142425698587,38.142425698587,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,CY,2020,35964,728,0.253129346314325,0.270140068356443,270.140068356443,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,CY,2020,44773,841,0.292420027816412,0.388509665683688,388.509665683688,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,CY,2020,25203,1166,0.405424200278164,0.303207840261283,303.207840261283,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,CZ,2005,11962,213,0.0718381112984823,0.0707736234084896,70.7736234084896,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,CZ,2005,14551,890,0.300168634064081,0.35972521154747,359.72521154747,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,CZ,2005,13812,917,0.309274873524452,0.35181466181918,351.81466181918,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,CZ,2005,8293,945,0.318718381112985,0.21768650322486,217.68650322486,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,CZ,2010,10678,148,0.0504774897680764,0.0395858676550759,39.5858676550759,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,CZ,2010,15756,966,0.329467939972715,0.381251564929586,381.251564929586,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,CZ,2010,14798,988,0.336971350613915,0.366225435427411,366.225435427411,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,CZ,2010,10242,830,0.283083219645293,0.212937131987927,212.937131987927,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,CZ,2015,13187,156,0.0532604984636395,0.0449518369429678,44.9518369429678,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,CZ,2015,18075,936,0.319562990781837,0.369684288804493,369.684288804493,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,CZ,2015,17046,980,0.334585182656197,0.36502734447058,365.02734447058,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,CZ,2015,11766,857,0.292591328098327,0.220336529781959,220.336529781959,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,CZ,2020,19763,81,0.0220949263502455,0.0265625756809223,26.5625756809223,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,CZ,2020,21626,766,0.208947081287507,0.27487627924456,274.87627924456,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
