IDENT;Regroupement;Ensemble;Décile1;Décile2;Décile3;Décile4;Décile5;Décile6;Décile7;Décile8;Décile9;Décile10
1011;1011 - Enseignement maternel et primaire;22;11;36;11;10;21;11;23;18;23;55
10111;10111 - Enseignement maternel et primaire (scolarité et cours d’alphabétisation);22;11;36;11;10;21;11;23;18;23;55
1020;1012 - Enseignement secondaire;47;35;61;30;28;44;33;47;38;63;90
10121;10121 - Enseignement secondaire (scolarité et inscription aux concours de niveau secondaire);25;24;25;19;18;23;22;24;20;40;35
1040;1013 - Enseignement supérieur;140;250;130;52;113;84;81;101;157;171;254
10131;10131 - Enseignement supérieur et frais d’inscription aux concours des grandes écoles;115;208;121;36;102;73;58;83;135;147;184
1014;1014 - Enseignement ne correspondant à aucun niveau particulier;25;42;9;16;11;11;23;18;22;24;70
10141;10141 - Enseignement ne correspondant à aucun niveau particulier (cours particuliers, enseignement professionnel par correspondance…);25;42;9;16;11;11;23;18;22;24;70
1015;1015 - Autres dépenses d’enseignement;28;11;39;11;29;3;20;12;8;15;129
1015Z;1015Z - Autres dépenses d’enseignement;28;11;39;11;29;3;20;12;8;15;129
11;11 - RESTAURATION ET HÔTELS;1 972;851;939;1 000;1 373;1 524;1 766;1 969;2 338;3 011;4 928
111 ;111 - Restauration;1 635;763;792;876;1 139;1 319;1 541;1 651;1 928;2 468;3 857
1111;1111 - Restaurants et cafés;1 023;424;433;536;686;815;992;1 030;1 213;1 599;2 499
11111;11111 - Repas pris dans un restaurant;575;150;184;250;342;401;523;545;690;971;1 691
11112;11112 - Repas pris dans un café, bars ou assimilé;448;274;249;286;344;414;468;484;523;628;808
1112;1112 - Cantines;358;258;277;247;299;339;346;379;380;437;615
11121;11121 - Cantines scolaire et professionnelle;358;258;277;247;299;339;346;379;380;437;615
1113;1113 - Autres dépenses de restauration;253;81;82;92;154;166;204;242;335;432;744
1113Z;1113Z - Autres dépenses de restauration;253;81;82;92;154;166;204;242;335;432;744
112;112 - Services d hébergement;337;88;147;125;234;205;225;317;410;543;1 071
1120;1121 - Services d hébergement;337;88;147;125;234;205;225;317;410;543;1 071
11211;11211 - Services d hébergement;337;88;147;125;234;205;225;317;410;543;1 071
12;12 - BIENS ET SERVICES DIVERS;4 343;2 082;2 641;3 253;3 445;3 786;4 454;4 807;5 647;5 806;7 485
